XXX,CityName,CityNo,CityTax,CountyName,CountyNo,CountyTax, SPDName,SPDNo,SPDTax,SPD2Name,SPD2No,SPD2Tax,SPD3Name,SPD3No,SPD3Tax, TransitName,TransitNo,TransitTax,Transit2Name,Transit2No,Transit2Tax, TotalTax
Anthony                       ,2071022,0.01,El Paso                       ,4071004,0.005,El Paso Co ESD 2                ,5071503,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Anton                         ,2110025,0.02,Hockley                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Appleby                       ,2174055,0.01,Nacogdoches                   ,n/a    ,0,Nacogdoches Co Hosp Dist             ,5174509,0.01,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Aquilla                       ,2109108,0.01,Hill                          ,4109000,0.005,Hill Co ESD 2,5109518,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Aransas Pass                  ,2205012,0.01,Aransas                       ,4004006,0.005,Aransas Co Health Serv               ,5004505,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Aransas Pass                  ,2205012,0.01,Nueces                        ,n/a    ,0,Aransas Pass Mun Dev Dist            ,5205502,0.005,Aransas Pass Crm Con Dist        ,5205511,0.005,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Aransas Pass                  ,2205012,0.01,San Patricio                  ,n/a    ,0,Aransas Pass Mun Dev Dist          ,5205502,0.005,Aransas Pass Crm Con Dist           ,5205511,0.005,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Archer City                   ,2005023,0.015,Archer                        ,4005005,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Arcola                        ,2079131,0.02,Fort Bend                     ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Argenta                       ,n/a    ,0,Live Oak                      ,4149002,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
